Año de publicación,Código sugerido,Nombre del archivo,Título del estudio,Categoría,Tipo de documento,Subcategoría,Idioma,Número de páginas,Incorpora perspectiva de género,Año de término,Lugar de término,Palabras clave,Objetivo,Metodología,Resumen,Documento público,Publicación destacada,Publicado,Editorial,Entidad solicitante,Entidad a cargo del estudio,Investigador u organismo principal,Equipo de investigación,Número de documento administrativo,Tipo de financiamiento,Costo del estudio,Base de datos enviada,Base pública,Url,Autoría
2009,PPT09-0059,InducciónDirectores_2009.pdf,Inducción de Directores en el Sistema Escolar Chileno,Estadísticas,Presentación,Liderazgo directivo,Español,44,No,2009,"Santiago, Chile",Director; Desempeño Docente.,Identificar el proceso de inducción de los Directores al Sistema Escolar Chileno.,Cuantitativa,Presentación del estudio Introducción de directores en el sisema escolar E09-0055.,Si,No,No,Sin información,"Centro de Perfeccionamiento, Experimentación e Investigaciones; CPEIP","CEPPE, PUC",Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18132/PPT09-0059.pdf?sequence=1&isAllowed=y,Sin información
2009,ES09-0060,Estadisticas Educacion 2008,Estadísticas de la Educación 2008,Estadísticas,Informe,Reporte de información estadística,Español,216,Si,2009,"Santiago, Chile","Personal Docente, estudiantes, asistentes.","Describir el sistema educacional de Chile, considerando estadísticas de los estudiantes, docentes, asistentes de la educación y establecimientos educacionales, así como los programas y ayudas estudiantiles existentes.",Cuantitativa,"Describir el sistema educacional de Chile, considerando estadísticas de los estudiantes, docentes, asistentes de la educación y establecimientos educacionales, así como los programas y ayudas estudiantiles existentes.",Si,No,Si,"Ministerio de Educación de Chile, MINEDUC",Ministerio de Educación de Chile; MINEDUC,"Centro de Estudios, MINEDUC","Centro de Estudios, MINEDUC","Centro de Estudios, MINEDUC",Sin información,Interno,0,Si,Si,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/2412/mono-1038.pdf?sequence=1&isAllowed=y,"Centro de Estudios, MINEDUC"
2009,ES09-0061,PMGGénero2009,Análisis de  Sistema Escolar desde la Perspectiva de Género 2009,Estadísticas,Informe,Reporte de información estadística,Español,49,Si,2009,"Santiago, Chile","Personal docente, estudiantes, asistentes.",Este informe se realiza con el fin de dar a conocer parte de la información cuantitativa que actualmente maneja el Ministerio de Educación en esta materia,Cuantitativa,Este informe se realiza con el fin de dar a conocer parte de la información cuantitativa que actualmente maneja el Ministerio de Educación en esta materia,Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Centro de Estudios, MINEDUC","Centro de Estudios, MINEDUC","Centro de Estudios, MINEDUC",Sin información,Interno,0,Si,Si,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18322/ES09-0061.pdf?sequence=1&isAllowed=y,"Centro de Estudios, MINEDUC"
2009,E09-0062,Procesos Cognición Y Actuación Docente,Los procesos de cognición y actuación docente como ejes articuladores del saber pedagógico y su impacto en el diseño de un modelo de práctica pedagógica reflexiva para la formación inicial docente: un estudio en algunos establecimientos municipalizados de la octava región,Estudios,Informe,Docentes,Español,119,No,2009,"Concepción, Chile",Enseñanza-Aprendizaje; Inglés; Prácticas Pedagógicas; Formación Inicial.,"Comprender el saber pedagógico de los docentes de Inglés y estudiantes de Pedagogía en Inglés participantes de este estudio, a partir de sus creencias y actuaciones en el aula, en el contexto de la enseñanza municipalizada de la región del Bío-Bío.",Cualitativa,"Las autoridades educacionales chilenas se han propuesto mejorar las competencias en el idioma Inglés de los estudiantes chilenos de enseñanza básica y media. En este contexto, la presente investigación, que se define como un estudio de casos de carácter analítico-interpretativo, tiene como fin conocer el sistema de creencias acerca de los procesos de enseñanza aprendizaje del Inglés y actuaciones de aula de 20 docentes de Inglés de establecimientos educacionales municipalizados de la octava región y de 10 estudiantes terminales de la carrera de Pedagogía en Inglés. Las creencias, al determinar las actitudes de los docentes, influyen en su toma de decisiones, las que, a su vez, guían sus acciones, y permiten la construcción de su saber pedagógico. De este modo, develar las creencias de los docentes y estudiantes y su impacto en las prácticas de aula permitirá determinar cómo éstos articulan el saber pedagógico. Este nuevo conocimiento del ámbito subjetivo y objetivo de los docentes y estudiantes permitirá formular hipótesis que sentarán las bases para el futuro diseño de un modelo de práctica pedagógica reflexiva en los programas de formación inicial de profesores de Inglés.",Si,Si,No,Sin información,División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,UCSC,"Díaz, Claudio","Martínez, Patricia; Roa, Iris; Sanhueza, María Gabriela",3695,Interno,14000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18135/E09-0062.pdf?sequence=1&isAllowed=y,"Díaz, Claudio; Martínez, Patricia; Roa, Iris; Sanhueza, María Gabriela"
2009,E09-0063,Estrategia Validación Educación Pública Municipal,"Hacia una estrategia de validación de la educación pública-municipal: imaginarios, valoraciones y demandas de las familias",Estudios,Informe,Sistema educativo,Español,132,No,2009,"Santiago, Chile",Educación Pública; Educación Municipal; Educación Particular Subvencionada; Familia.,"Analizar los procesos y factores a nivel de las familias que se esconden tras el resultado numérico de pérdida de matricula de la educación municipal para, en base a los resultados obtenidos, elaborar recomendaciones pertinentes a las inquietudes, demandas y percepciones de los padres y apoderados que contribuyan a la revalidación y fortalecimiento de la educación pública-municipal.",Cualitativa,"Estudio que analiza los procesos y factores a nivel de las familias que se esconden tras la pérdida de matrícula de la educación municipal. El tema se aborda con una metodología cualitativa, para entender la complejidad del proceso de elección que hace la familia, identificando el peso que en éste tienen las representaciones sociales sobre la educación y las divisiones que las familias ven que tiene el Sistema Educativo del país. La evidencia proviene de entrevistas a apoderados y alumnos de estratos bajos y medios, de establecimientos municipales y particulares subvencionados en tres comunas. Dentro de los principales resultados de la investigacion se encuentra que las familias matriculan a sus hijos en función de sus representaciones sociales sobre la importancia o sentido de la educación, los atributos de un buen colegio, las imágenes que tienen de la oferta de establecimientos, ámbitos dentro de los cuales se observaron importantes brechas y diferencias según el estrato socioeconómico.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,Asesorías para el Desarrollo,"Raczynski, Dagmar","Salinas, Daniel; De la Fuente, Loreto; Hernández, Macarena; Lattz, Miguel",3646,Interno,19500000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18136/E09-0063.pdf?sequence=1&isAllowed=y,"Raczynski, Dagmar; Salinas, Daniel; De la Fuente, Loreto; Hernández, Macarena; Lattz, Miguel"
2009,E09-0064,Estado Perspectiva Enseñanza Media Técnico Profesional,Estado y perspectivas de la enseñanza media técnico profesional en Chile: un estudio sobre las orientaciones estratégicas predominantes en los actores,Estudios,Informe,Educación técnico-profesional,Español,162,Si,2009,"Santiago, Chile",Educación Técnico Profesional; Mercado Laboral.,"Analizar, desde el punto de vista de sus actores fundamentales, las principales orientaciones que tiene el modelo de enseñanza media técnica profesional (EMTP) en Chile y los proyectos educativo /laborales que predominan entre estudiantes y egresados del sistema.",Mixta,"Este estudio ha sido realizado por un equipo de investigadores del Centro de Investigación y Desarrollo de la Educación, CIDE, de la Universidad Alberto Hurtado y su objetivo general ha sido analizar, desde el punto de vista de sus actores fundamentales, las principales orientaciones que tiene el modelo de enseñanza media técnica profesional en Chile y los proyectos educativo / laborales que predominan entre estudiantes y egresados del sistema.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,"CIDE, UAH","Sepúlveda, Leandro","Ugalde, Pamela; Campos, Fabiola",3687,Interno,19000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18137/E09-0064.pdf?sequence=1&isAllowed=y,"Sepúlveda, Leandro; Ugalde, Pamela; Campos, Fabiola"
2009,E09-0065,Relación Intimidación Clases Rendimiento,Relación entre intimidación (bullying) y clima en la sala de clases y su influencia sobre el rendimiento de los estudiantes,Estudios,Informe,Comunidad educativa,Español,95,Si,2009,"Santiago, Chile",Intimidación; Bullying; Clima en el Aula; Rendimiento.,"Establecer las relaciones entre intimidación, clima escolar y rendimiento de los estudiantes.",Cuantitativa,"El clima escolar se ve negativamente afectado por la intimidación, debido al estado emocional que genera con posterioridad al acto, sus consecuencias sicológicas y sobre la salud física y porque un alto porcentaje de agresiones ocurren en la sala de clases. El clima que se genera favorece la emergencia de nuevas acciones intimidatorias. Si se ha establecido que, el clima positivo es una de las variables que más impactan en el aprendizaje, la presencia de intimidación impactaría negativamente el rendimiento escolar.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,UDP,"Toledo Jofré, María Isabel","Magendzo Kolstrein, Abraham; Gutiérrez Gianella, Virna ",3732,Interno,13500000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18138/E09-0065.pdf?sequence=1&isAllowed=y,"Toledo Jofré, María Isabel; Magendzo Kolstrein, Abraham; Gutiérrez Gianella, Virna"
2009,E09-0066,Cobertura Curricular Matemática Segundo Ciclo Básico Enseñanza Media,Factores que inciden en el desarrollo y sustentabilidad de prácticas innovadoras de integración curricular de tecnologías de la información (TICs) en la sala de clases en profesores de Enseñanza Media,Estudios,Informe,Currículo,Español,64,No,2009,"Santiago, Chile","Reflexividad docente, innovación, prácticas pedagógicas con TIC.","Analizar los factores que inciden en el desarrollo y sustentabilidad de prácticas docentes innovadoras de integración curricular de TICs en la sala de clases  entre los profesores de enseñanza media, estudiando particularmente el rol de la reflexividad docente.",Mixta,"Se describen dos tipos de prácticas con uso de TICs: prácticas propiamente innovadoras, donde las TICs modifican sustantivamente el modo en que los profesores trabajan; y prácticas donde las TICs contribuyen con mejoras cuantitativas o más bien marginales de aspectos ya presentes previamente, y que no constituyen innovación profunda. Por lo que el análisis de datos muestra que hay una relación significativa entre reflexividad e innovación.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,"Departamento de Estudios y Desarrollo, Universidad de Chile","Salinas, Álvaro","Sánchez, Jaime; Purcell, Orietta; Mendoza, Claudia",3652,Interno,19000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18140/E09-0066.pdf?sequence=1&isAllowed=y,"Salinas, Álvaro; Sánchez, Jaime; Purcell, Orietta; Mendoza, Claudia"
2009,E09-0067,Factores Violencia Escolar,Análisis de áreas y dimensiones de la gestión directiva que inciden en el fenómeno de la violencia en el ámbito escolar en establecimientos educacionales municipalizados de la Región de Valparaíso,Estudios,Informe,Liderazgo directivo,Español,138,No,2009,"Santiago, Chile",Enseñanza Media; Vulnerabilidad; Educación Municipales; Docentes; Clima Escolar.,Analizar las prácticas en la gestión directiva frente la violencia escolar en establecimientos educacionales de la Región de Valparaíso. Cómo dichas prácticas inciden en la generación de contextos de protección y de riesgos.,Mixta,"Investigación que pretende develar las prácticas institucionales asociadas a la gestión directiva que inciden en la generación de contextos de protección y de riesgo frente a las manifestaciones de violencia en el ámbito escolar en establecimientos educacionales municipalizados de la Región de Valparaíso. Se busca aportar en los lineamientos ministeriales que orientan la labor directiva, analizando y difundiendo prácticas relevantes para este nivel de gestión escolar.",Si,Si,No,Sin información,División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,Galerna Consultores,"Asún, Domingo","Gallardo, Victor; Herrera, Martín; Jorquera, Elizabeth; Montero, Claudio; Poblete, Nadia",3686,Interno,15000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18141/E09-0067.pdf?sequence=1&isAllowed=y,"Asún, Domingo; Gallardo, Victor; Herrera, Martín; Jorquera, Elizabeth; Montero, Claudio; Poblete, Nadia"
2009,E09-0068,Mejoramiento Resultados PISA Chile,Causas que explican el mejoramiento de los resultados obtenidos por los estudiantes chilenos en PISA 2006 respecto a PISA 2001. Aprendizajes y Políticas,Estudios,Informe,Enseñanza y aprendizaje,Español,121,No,2009,"Santiago, Chile",Pruebas Estandarizadas; SIMCE; Aprendizaje.,Este estudio tuvo tres propósitos: identificar factores explicativos del mejoramiento de resultados PISA Lectura de los alumnos chilenos de 15 años entre 2001 y 2006; identificar factores que contribuyan a explicar el aumento de la desigualdad en dichos resultados; y analizar por qué la prueba SIMCE Lenguaje de 2º medio aplicada en el mismo período no mostró un mejoramiento análogo de los resultados de los alumnos chilenos.,Cuantitativa,"Este estudio pretende explicar la mejora de los estudiantes en los resultados de la prueba PISA del año 2006 respecto del año 2001. Para esto, los investigadores aplicaron técnicas cuantitativas de descomposición de diferencias de resultados. Los principales hallazgos fueron: poco más de dos tercios del mejoramiento de resultados PISA se debe a un incremento de los recursos disponibles para los estudiantes, mientras el tercio restante se explica por un mejoramiento en la eficiencia en el uso de dichos recursos.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,"Centro de Investigación Avanzada en Educación, Universidad de Chile","Valenzuela, Juan Pablo","Bellei, Cristián; Osses, Alejandra; Sevilla, Alejandro",3655,Interno,12500000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18142/E09-0068.pdf?sequence=1&isAllowed=y,"Valenzuela, Juan Pablo; Bellei, Cristián; Osses, Alejandra; Sevilla, Alejandro"
2009,E09-0069,Escuelas Rurales Araucanía,Saber pedagógico y práctica docente en escuelas rurales de comunidades mapuche de la Región de la Araucanía. Estudio comparativo con escuelas de la Región Metropolitana,Estudios,Informe,Comunidad educativa,Español,105,No,2009,"Santiago, Chile",Educación Intercultural; Diversidad Cultural; Educación Rural.,"Comparar prácticas docentes de profesores(as) de educación parvularia y básica de escuelas rurales completas y multigrado situadas en comunidades mapuche de la Región de la Araucanía, con las prácticas de los profesores(as) de escuelas de la Región Metropolitana estudiadas antes, en lo relativo a los aspectos del saber pedagógico considerados en el estudio, vinculándolas con la implementación del currículo oficial, el Dominio B del Marco para la Buena Enseñanza y, para las escuelas rurales, con las orientaciones del Programa de Educación Intercultural Bilingüe.",Cualitativa,El presente informe corresponde a una investigación que indagó en el modo en que se operacionalizan algunos aspectos del saber pedagógico en aulas de escuelas rurales de comunidades mapuche de la Región de La Araucanía.,Si,Si,No,Sin información,División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,"Facultad de Pedagogía, UMCE","Ibáñez, Nolfa","Rodríguez O., Soledad",3647,Interno,15000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18143/E09-0069.pdf?sequence=1&isAllowed=y,"Ibáñez, Nolfa; Rodríguez O., Soledad"
2009,E09-0070,Trayectorias Concepciones Y Prácticas Docentes,"Trayectorias, concepciones y prácticas de docentes secundarios de ciencias innovadores y efectivos",Estudios,Informe,Docentes,Español,163,No,2009,"Santiago, Chile",Docente; Ciencia; Innovación.,"Investigar a través de un estudio de casos las características de docentes secundarios de ciencia con prácticas pedagógicas innovadoras y efectivas, con el fin de aportar con evidencia local al mejoramiento de la formación inicial y continúa de docentes secundarios de ciencia.",Cualitativa,Este estudio indaga las características de docentes secundarios de ciencia con prácticas pedagógicas innovadoras y efectivas.,Si,Si,No,Sin información,División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,"Facultad de Ciencias, PUCV","González, Corina","Martínez, María Teresa; Cuevas, Karen; Cortéz, Mónica; Galaz, Carolina",3654,Interno,16000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18144/E09-0070.pdf?sequence=1&isAllowed=y,"González, Corina; Martínez, María Teresa; Cuevas, Karen; Cortéz, Mónica; Galaz, Carolina"
2009,E09-0071,"Formación de Mentores, Modalidad b-learning",Reflexiones sobre la Formación de Mentores a través de la Modalidad b-learning,Estudios,Informe,Docentes,Español,29,No,2009,"Santiago, Chile","Mentoría b-learning, inducción al profesorado principiante, acompañamiento al profesorado principiante, comunicación mediada por ordenador (CMO), modelo de mentoría colaborativa reflexiva.","Evaluar y sistematizar el modelo de mentoría colaborativa de reflexión en y sobre la acción aplicado en modalidad b-learning considerando los distintos elementos que lo constituyen (personas, herramientas, propósitos, reglas).",Cualitativa,"Esta investigación da cuenta del comportamiento del Modelo de Mentoría Colaborativo de Reflexión en y sobre la acción en modalidad b-learning, en la formación de mentores del profesorado novel y principiante. Se realizó un Estudio de Casos para una mejor aproximación a la complejidad del fenómeno estudiado, efectuando análisis específicos de la realidad concreta recogida de las experiencias del profesorado participante en el “Diplomado de Formación de Mentores para el Apoyo de Profesores Principiantes”, ofrecido en modalidad b-learning, por la Universidad Católica de Temuco y el CPEIP, durante el año 2009. Las experiencias de los participantes se recogieron desde el inicio del Diplomado, el 30 de mayo, para terminar el 4 de diciembre de 2009, con el propósito de presentar todo el proceso vivido por los principales actores: profesorado formándose como mentores, profesorado principiante, tutores b-learning y profesorado especialista de la universidad. La metodología de investigación usada es de tipo cualitativo. Para recoger la información se usó entrevistas semi estructuradas (antes, durante y al cierre del Programa), observación “in situ” y la realización de un grupo focal de profesores principiantes. Para el análisis se trabajó con técnicas clásicas de investigación en Ciencias Sociales que se aplican a datos informativos no estructurados o semi estructurados. Además, se usó el software “Atlas TI 5”.",Si,Si,No,Sin información,Ministerio de Educación de Chile; MINEDUC,UCT,"Inostroza De Celis, Gloria","Del Valle, Rodrigo; Morales, Soledad; Uribe, Pilar",3645,Interno,18500000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18145/E09-0071.pdf?sequence=1&isAllowed=y,"Inostroza De Celis, Gloria; Del Valle, Rodrigo; Morales, Soledad; Uribe, Pilar"
2009,E09-0072,Formación Ciudadana,El desafío de la Formación Ciudadana. Principios para un modelo de integración curricular en Lenguaje y Comunicación y Estudio y Comprensión de la Sociedad para la EGB,Estudios,Informe,Currículo,Español,75,Si,2009,"Santiago, Chile",Currículum; Educación Básica.,"Describir los conocimientos, habilidades y disposiciones ciudadanas promovidas por los docentes de Lenguaje y Comunicación e Historia, Geografía y Ciencias Sociales, en el Segundo Ciclo Básico, contrastándolas con el Marco Curricular Nacional y algunos modelos de construcción ciudadana basados en competencias. Además, se buscó construir un modelo de integración curricular para transferirlos a una propuesta didáctica.",Cualitativa,"Investigación que, desde el interaccionismo simbólico y aplicando técnicas cualitativas en una muestra de establecimientos de la VIII Región de Lenguaje, en el Segundo Ciclo Básico en la Escuela, analiza los conocimientos, habilidades y actitudes transmitidas por los profersores de Comunicación e Historia, Geografía y Ciencias Sociales, ligadas al desarrollo de competencia ciudadanas. El estudio concluye comentando que el profesorado tiene conciencia de su rol en la promoción de la individualización de sus estudiantes, la calidad de la socialización es insuficiente. Por otra parte, los estudiantes no poseen una adecuada concepción de la formación ciudadana ni perciben que la escuela es un espacio para la misma. En la medida que los estudiantes sean protagonistas del proceso de aprendizaje, hay una posibilidad de integración de competencias ciudadanas en la escuela.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,UDEC,"Muñoz, Carlos","Victoriano, Ramón; Luengo, Héctor; Ansorena, Natalia; Naíl, Natalia",493,Interno,16000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18146/E09-0072.pdf?sequence=1&isAllowed=y,"Muñoz, Carlos; Victoriano, Ramón; Luengo, Héctor; Ansorena, Natalia; Naíl, Natalia"
2009,E09-0073,Prácticas Pedagógicas Docentes Liceos Prioritarios,El Conocimiento Profesional del profesorado de enseñanza media de liceos focalizados como Prioritarios de la región de Valparaíso: procesos de construcción y transferencia a la práctica docente,Estudios,Informe,Docentes,Español,303,No,2009,"Santiago, Chile",Docentes; Formación Inicial; Enseñanza Media; Prácticas Pedagógicas; Establecimientos Educativos.,"Conocer cómo se adquiere y manifiesta el conocimiento profesional y, más concretamente, el Conocimiento Didáctico del Contenido en la práctica de la enseñanza en el nivel de educación media de liceos focalizados adscritos al Programa Liceos Prioritarios de la región de Valparaíso.",Cualitativa,"Este artículo tiene como finalidad dar a conocer los resultados del estudio sobre prácticas pedagógicas virtuosas de docentes que trabajan en establecimientos educacionales adscritos al Programa Liceos Prioritarios de Valparaíso. Se centra en las manifestaciones de aquel conocimiento profesional que habilita a los docentes para llevar a cabo una actuación docente experta, así como en el proceso de acción y razonamiento pedagógico que permite ponerlo en marcha.",Si,Si,Si,"Ministerio de Educación de Chile, MINEDUC",División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,U. de Valparaíso,"Guzmán, Carolina","Rodríguez, Verónica; Imbernon, Francisco; De la Cerda, Cecilia;  Carrasco, Claudia",765,Interno,15000000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18147/E09-0073.pdf?sequence=1&isAllowed=y,"Guzmán, Carolina; Rodríguez, Verónica; Imbernon, Francisco; De la Cerda, Cecilia; Carrasco, Claudia"
2009,E09-0074,Concepciones Sobre Lenguaje Escrito Sectores Rurales,"Concepciones de niños y niñas sobre el lenguaje escrito en sectores rurales de la provincia de Malleco, región de la Araucanía",Estudios,Informe,Enseñanza y aprendizaje,Español,66,No,2009,"Santiago, Chile",Lenguaje; Educación Parvularia; Enseñanza-Aprendizaje.,"Comprender los procesos de conceptualización del sistema de escritura en niñas y niños de 3 a 5 años 11 meses, residentes en sectores rurales de la provincia de Malleco, región de la Araucanía.",Cualitativa,"Los niños y niñas desde muy temprana edad comienzan a pensar acerca de la escritura, progresivamente comienzan a entender la escritura como una producción social que les permite expresar y comunicarse. Por esto, se torna importante indagar en las concepciones que niños y niñas de sectores rurales de la región tienen sobre la escritura. La muestra contempla niños/as de sectores rurales escolarizados y no escolarizados, siendo ésta de 51 en total divididos en partes iguales según este criterio.",Si,Si,No,Sin información,División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,"Centro de Investigaciones Pedagógicas, UAP","Silva, Ilich","Durán, Ana Carolina; Salgado, Isabel",406,Interno,15500000,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18148/E09-0074.pdf?sequence=1&isAllowed=y,"Silva, Ilich; Durán, Ana Carolina; Salgado, Isabel"
2010,E10-0001,College Enrollment Goverment Financial,College Enrollment and Government Financial Aid in Chile,Estudios,Artículo,Educación superior,Español,27,No,2010,"Santiago, Chile","Education; Chile, Enrollment; College; Impact Evaluation; Regression-Discontinuity.",Evaluar el impacto de las becas y créditos en la matricula de los estudiantes de universidades chilenas.,Cualitativa,"Análisis nacional del impacto que tiene el apoyo económico estatal en estudiantes universitarios (becas, etc.) utilizando una técnica de regresión de discontinuidad. Se pudo observar que los estudiantes preseleccionados para recibir apoyo económico aumentaron en matrícula 18 puntos porcentuales, lo cual dobla la matrícula de los estudiantes que no recibieron apoyo en el punto de corte. Este tipo de medición muestra un impacto considerablemente más alto que el manifestado en la literatura internacional. El impacto de ayuda financiera varía en las distintas escuelas y quintiles de ingreso de los estudiantes, mostrando un efecto más grande en estudiantes provenientes de familia de bajo y medio ingreso económico. Se discute la importancia del impacto presentado, verificando su relevancia y sugiriendo que es insuficiente para el sector de ingreso más bajo.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Centro de Estudios, MINEDUC","Blanco, Christian","Meneses, Francisco",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18171/E10-0001.pdf?sequence=1&isAllowed=y,"Blanco, Christian; Meneses, Francisco"
2010,E10-0002,Estándares Indicadores Para Aprendizaje,Determinación de Estándares e Indicadores de Condiciones para el Aprendizaje en Establecimientos Educacionales,Estudios,Informe,Enseñanza y aprendizaje,Español,417,No,2010,"Santiago, Chile",Evaluación; Pruebas estandarizadas.,"El presente documento tiene por objetivo desarrollar estándares referidos a las condiciones para el aprendizaje en los establecimientos educacionales, complementando las mediciones de logro, y permitiendo con ello monitorear el desempeño educativo en forma integral. Con esto, proponer el conjunto de indicadores que permitan caracterizar la calidad de las condiciones para el aprendizaje en los establecimientos educacionales, y cuya evaluación permita dar cuenta del logro de los estándares de condiciones para el aprendizaje.",Cualitativa,"El presente documento realiza una revisión de experiencias nacionales e internacionales de supervisión, acreditación y evaluación de establecimientos educativos y diseño de las matrices originales; consolidación de un mapa global de indicadores, sobre la base del marco conceptual, modelo de gestión del MINEDUC y en el cual se integran aprendizajes y aportes tanto de las experiencias nacionales e internacionales, al mismo tiempo que integra elementos de contenido relevantes extraídos de la revisión de experiencias y de la revisión de la literatura; readecuación y evaluación del mapa global, proceso que se basa en la identificación explícita de los procesos críticos transversales de los establecimientos escolares, y en el cual se integra de manera fundamental juicio experto; propuesta de un mapa específico de dimensiones, subdimensiones e indicadores.",Si,Si,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Centro de Políticas Públicas, PUC","Paredes, Ricardo","Dagnino, Cristián; Del Canto, Consuelo; Espinosa, Giuliana; Lagos, Francisco; Ramírez, Valeria; San Martín, Ernesto; Stekel,  Yael ; Eduardo Candia; Rodrigo Carvajal; Francisco Cisternas; María Teresa Chamorro; Guillermo Fuentes; Rodrigo Torres; Fundación Chile, Programa de Gestión y Dirección Escolar; Fundación Chile, Programa de Gestión y Dirección Escolar",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18182/E10-0002.pdf?sequence=1&isAllowed=y,"Paredes, Ricardo; Dagnino, Cristián; Del Canto, Consuelo; Espinosa, Giuliana; Lagos, Francisco; Ramírez, Valeria; San Martín, Ernesto; Stekel,  Yael; Eduardo Candia; Rodrigo Carvajal; Francisco Cisternas; María Teresa Chamorro; Guillermo Fuentes; Rodrigo Torres; Fundación Chile, Programa de Gestión y Dirección Escolar"
2010,E10-0003,Estimación Demanda Educación Parvularia,Estimación de la demanda por educación parvularia. Procesos de focalización 2006-2010,Estudios,Informe,Educación parvularia,Español,25,No,2010,"Santiago, Chile",JUNJI; Evaluación de Desempeño; Desarrollo Congnitivo.,"Realizar un diagnóstico de los procesos de estimación de demanda por educación parvularia realizado en cada uno de los años de esta gestión, evidenciando la metodología utilizada y los resultados obtenidos.",Cuantitativa,"En el mes de Junio del 2006, el Consejo Asesor Presidencial para la Reforma de las Políticas de Infancia formuló una serie de propuestas y/o recomendaciones, tanto legislativas como programáticas, con el objetivo de “implementar un sistema de protección a la infancia, destinado a igualar las oportunidades de desarrollo de los niños y niñas desde su gestación y hasta el fin del primer ciclo de enseñanza básica, independientemente de su origen social, género, la conformación de su hogar u cualquier otro factor potencial de inequidad”.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,JUNJI,"Becerra Moro, María José","Muñoz Correa, Nicolás; Uribe González, Jimena",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/18193/E10-0003.pdf?sequence=1&isAllowed=y,"Becerra Moro, María José; Muñoz Correa, Nicolás; Uribe González, Jimena"
